Current Depth: -10, Current Depth Rate: 0.0, Thrust in z direction: -9.6, desired depth: -20, desired depth rate: -8.0
Current Depth: -10.220718073504166, Current Depth Rate: -1.8937580961980849, Thrust in z direction: -7.158656174913854, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.225452468744662, Current Depth Rate: -1.9116547366353696, Thrust in z direction: -7.158656174913854, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.23023160558625, Current Depth Rate: -1.9295513770726542, Thrust in z direction: -7.115704237864371, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.235055484028932, Current Depth Rate: -1.9473406376673152, Thrust in z direction: -7.115704237864371, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.2399238356231, Current Depth Rate: -1.9651298982619763, Thrust in z direction: -7.073010012437185, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.244836660368756, Current Depth Rate: -1.9828124232930693, Thrust in z direction: -7.073010012437185, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.249793691426989, Current Depth Rate: -2.000494948324162, Thrust in z direction: -7.030571952362561, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.2547949287978, Current Depth Rate: -2.0180713782050685, Thrust in z direction: -7.030571952362561, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.259840107243313, Current Depth Rate: -2.035647808085975, Thrust in z direction: -6.988388520648386, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.264929226763527, Current Depth Rate: -2.053118779387596, Thrust in z direction: -6.988388520648386, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.270062023711997, Current Depth Rate: -2.0705897506892166, Thrust in z direction: -6.946458189524496, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.27523849808872, Current Depth Rate: -2.087955896163028, Thrust in z direction: -6.946458189524496, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.280458387829128, Current Depth Rate: -2.105322041636839, Thrust in z direction: -6.904779440387349, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.28572169293322, Current Depth Rate: -2.1225839902378074, Thrust in z direction: -6.904779440387349, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.291028152908815, Current Depth Rate: -2.139845938838776, Thrust in z direction: -6.863350763745025, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.296377767755912, Current Depth Rate: -2.1570043157481384, Thrust in z direction: -6.863350763745025, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.301770278545282, Current Depth Rate: -2.174162692657501, Thrust in z direction: -6.822170659162555, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.307205685276926, Current Depth Rate: -2.1912181193054074, Thrust in z direction: -6.822170659162555, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.31268373057519, Current Depth Rate: -2.208273545953314, Thrust in z direction: -6.781237635207579, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.318204414440073, Current Depth Rate: -2.225226640041333, Thrust in z direction: -6.781237635207579, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.323767481040177, Current Depth Rate: -2.242179734129352, Thrust in z direction: -6.740550209396333, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.3293729303755, Current Depth Rate: -2.259031109652843, Thrust in z direction: -6.740550209396333, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.335020508149633, Current Depth Rate: -2.275882485176334, Thrust in z direction: -6.700106908139955, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.340710214362574, Current Depth Rate: -2.292632752446684, Thrust in z direction: -6.700106908139955, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.34644179624369, Current Depth Rate: -2.3093830197170337, Thrust in z direction: -6.659906266691116, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.352215253792982, Current Depth Rate: -2.3260327853837617, Thrust in z direction: -6.659906266691116, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.358030335756442, Current Depth Rate: -2.3426825510504896, Thrust in z direction: -6.619946829090968, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.363887042134069, Current Depth Rate: -2.359232418123217, Thrust in z direction: -6.619946829090968, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.369785123179376, Current Depth Rate: -2.3757822851959443, Thrust in z direction: -6.580227148116423, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.375724578892367, Current Depth Rate: -2.3922328530662353, Thrust in z direction: -6.580227148116423, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.381705161025032, Current Depth Rate: -2.4086834209365264, Thrust in z direction: -6.540745785227724, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.387726869577373, Current Depth Rate: -2.425035285399596, Thrust in z direction: -6.540745785227724, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.393789457790872, Current Depth Rate: -2.441387149862665, Thrust in z direction: -6.501501310516358, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.399892925665528, Current Depth Rate: -2.457640903138956, Thrust in z direction: -6.501501310516358, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.406037027923375, Current Depth Rate: -2.473894656415247, Thrust in z direction: -6.462492302653259, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.412221764564412, Current Depth Rate: -2.49005088717188, Thrust in z direction: -6.462492302653259, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.418446891782342, Current Depth Rate: -2.506207117928513, Thrust in z direction: -6.42371734883734, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.424712409577163, Current Depth Rate: -2.5222664113006066, Thrust in z direction: -6.42371734883734, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.431018075605415, Current Depth Rate: -2.5383257046727, Thrust in z direction: -6.385175044744316, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.437363889867097, Current Depth Rate: -2.5542886422845608, Thrust in z direction: -6.385175044744316, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.443749611472809, Current Depth Rate: -2.5702515798964214, Thrust in z direction: -6.34686399447585, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.45017524042255, Current Depth Rate: -2.586118739882611, Thrust in z direction: -6.34686399447585, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.456640537272255, Current Depth Rate: -2.601985899868801, Thrust in z direction: -6.308782810508995, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.463145502021927, Current Depth Rate: -2.6177578568950732, Thrust in z direction: -6.308782810508995, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.469689896664164, Current Depth Rate: -2.6335298139213457, Thrust in z direction: -6.270930113645941, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.476273721198968, Current Depth Rate: -2.6492071392054606, Thrust in z direction: -6.270930113645941, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.482896739046982, Current Depth Rate: -2.6648844644895755, Thrust in z direction: -6.233304532964065, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.489558950208206, Current Depth Rate: -2.680467725821986, Thrust in z direction: -6.233304532964065, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.496260119522761, Current Depth Rate: -2.696050987154396, Thrust in z direction: -6.195904705766281, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.503000246990647, Current Depth Rate: -2.7115407489188117, Thrust in z direction: -6.195904705766281, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.509779098862944, Current Depth Rate: -2.7270305106832273, Thrust in z direction: -6.158729277531683, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.516596675139652, Current Depth Rate: -2.7424273338770564, Thrust in z direction: -6.158729277531683, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.523452743474346, Current Depth Rate: -2.7578241570708855, Thrust in z direction: -6.121776901866493, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.530347303867023, Current Depth Rate: -2.7731285993255517, Thrust in z direction: -6.121776901866493, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.537280125365337, Current Depth Rate: -2.788433041580218, Thrust in z direction: -6.085046240455294, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.544251207969287, Current Depth Rate: -2.803645657181356, Thrust in z direction: -6.085046240455294, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.55126032211224, Current Depth Rate: -2.818858272782494, Thrust in z direction: -6.048535963012563, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.558307467794195, Current Depth Rate: -2.8339796126900256, Thrust in z direction: -6.048535963012563, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.56539241682592, Current Depth Rate: -2.8491009525975572, Thrust in z direction: -6.0122447472344875, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.572515169207415, Current Depth Rate: -2.8641315644656435, Thrust in z direction: -6.0122447472344875, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.57967549811858, Current Depth Rate: -2.87916217633373, Thrust in z direction: -5.97617127875108, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.586873403559414, Current Depth Rate: -2.8941026045306075, Thrust in z direction: -5.97617127875108, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.594108660070741, Current Depth Rate: -2.909043032727485, Thrust in z direction: -5.940314251078574, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.60138126765256, Current Depth Rate: -2.9238938183551815, Thrust in z direction: -5.940314251078574, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.608691002198448, Current Depth Rate: -2.9387446039828777, Thrust in z direction: -5.904672365572103, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.616037863708405, Current Depth Rate: -2.953506284896808, Thrust in z direction: -5.904672365572103, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.623421629420648, Current Depth Rate: -2.968267965810738, Thrust in z direction: -5.86924433137867, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.630842299335175, Current Depth Rate: -2.9829410766391846, Thrust in z direction: -5.86924433137867, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.638299652026772, Current Depth Rate: -2.997614187467631, Thrust in z direction: -5.834028865390398, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.645793687495441, Current Depth Rate: -3.012199259631107, Thrust in z direction: -5.834028865390398, desired depth: -20, desired depth rate: -7.859304908626297
Current Depth: -10.65332418564452, Current Depth Rate: -3.026784331794583, Thrust in z direction: -5.340667583627762, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.660891146474006, Current Depth Rate: -3.0401360007536526, Thrust in z direction: -5.340667583627762, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.66849148647589, Current Depth Rate: -3.0534876697127222, Thrust in z direction: -5.308623578125995, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.676125205650171, Current Depth Rate: -3.066759228658037, Thrust in z direction: -5.308623578125995, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.683792103721817, Current Depth Rate: -3.080030787603352, Thrust in z direction: -5.276771836657239, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.691492180690826, Current Depth Rate: -3.0932227171949953, Thrust in z direction: -5.276771836657239, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.699225237483814, Current Depth Rate: -3.1064146467866385, Thrust in z direction: -5.245111205637295, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.706991274100782, Current Depth Rate: -3.1195274248007316, Thrust in z direction: -5.245111205637295, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.714790092662783, Current Depth Rate: -3.132640202814825, Thrust in z direction: -5.213640538403472, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.72262169316982, Current Depth Rate: -3.1456743041608335, Thrust in z direction: -5.213640538403472, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.730485878930223, Current Depth Rate: -3.158708405506842, Thrust in z direction: -5.1823586951730505, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.73838264994399, Current Depth Rate: -3.171664302244775, Thrust in z direction: -5.1823586951730505, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.746311810699602, Current Depth Rate: -3.1846201989827074, Thrust in z direction: -5.1512645430020125, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.75427336119706, Current Depth Rate: -3.1974983603402123, Thrust in z direction: -5.1512645430020125, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.76226710709791, Current Depth Rate: -3.210376521697717, Thrust in z direction: -5.1203569557440005, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.770293048402156, Current Depth Rate: -3.2231774140870773, Thrust in z direction: -5.1203569557440005, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.778350991937373, Current Depth Rate: -3.2359783064764374, Thrust in z direction: -5.089634814009536, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.786440937703563, Current Depth Rate: -3.2487023935114614, Thrust in z direction: -5.089634814009536, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.794562693687341, Current Depth Rate: -3.2614264805464854, Thrust in z direction: -5.059097005125479, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.802716259888708, Current Depth Rate: -3.274074223059299, Thrust in z direction: -5.059097005125479, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.810901445446357, Current Depth Rate: -3.286721965572113, Thrust in z direction: -5.028742423094726, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.819118250360287, Current Depth Rate: -3.29929382162985, Thrust in z direction: -5.028742423094726, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.82736648491436, Current Depth Rate: -3.311865677687587, Thrust in z direction: -4.998569968556157, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.83564614910858, Current Depth Rate: -3.3243621026089776, Thrust in z direction: -4.998569968556157, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.843957054365102, Current Depth Rate: -3.336858527530368, Thrust in z direction: -4.968578548744819, desired depth: -20, desired depth rate: -7.4773406514843845
Current Depth: -10.852299200683929, Current Depth Rate: -3.34927997390223, Thrust in z direction: -4.968578548744819, desired depth: -20, desired depth rate: -7.4773406514843845
